;name;github_id;dockerhub_id;pypi_id;npm_id;helm_id;brew_id;apt_id;yum_id;maven_id;category;github_url;homepage;created_at;updated_at;fork_count;open_issue_count;closed_issue_count;star_count;commit_count;latest_stable_release_published_at;latest_stable_release_number;release_count;description;contributor_count;sourcerank;pypi_url;license;dependent_project_count;pypi_dependent_project_count;pypi_monthly_downloads;monthly_downloads;npm_url;npm_dependent_project_count;npm_monthly_downloads;maven_url;maven_dependent_project_count;dockerhub_url;dockerhub_stars;dockerhub_pulls;show;sourcerank_placing;gem_id;conda_id;go_id;conda_url;github_dependent_project_count;pkg_id;cran_od;conda_dependent_project_count;github_release_downloads;zypper_id;docs_url;yarn_id;cran_id;nuget_id;snap_id
0;Elasticsearch;elastic/elasticsearch;elasticsearch;elasticsearch;elasticsearch;elastic/elasticsearch;elasticsearch;elasticsearch;elasticsearch;org.elasticsearch.client:transport;data-storage;https://github.com/elastic/elasticsearch;https://github.com/elastic/elasticsearch;2010-02-08 13:20:56+00:00;2019-10-29 22:54:09+00:00;15161;2242.0;19617.0;49021;49003.0;2019-10-23 14:23:54+00:00;7.4.1;122.0;Open Source, Distributed, RESTful Search Engine.;1483;40;https://pypi.org/project/elasticsearch;Apache-2.0;19610.0;10040.0;3122163.0;7065957.0;https://www.npmjs.com/package/elasticsearch;7488.0;1202971.0;https://search.maven.org/artifact/org.elasticsearch.client/transport;2082.0;https://hub.docker.com/r/_/elasticsearch;3942.0;317935548.0;True;1;;;;;;;;;;;;;;;
1;MongoDB;mongodb/mongo;mongo;pymongo;mongodb;incubator/mongodb;;;;org.mongodb:mongodb-driver-sync;data-storage;https://github.com/mongodb/mongo;https://github.com/mongodb/mongo;2009-01-15 16:15:18+00:00;2019-10-29 23:25:24+00:00;4222;41.0;;23240;48867.0;2019-08-28 17:40:29.056000+00:00;3.3.2;340.0;The MongoDB Database.;648;38;https://pypi.org/project/pymongo;SSPL;214500.0;32876.0;4929686.0;20173935.0;https://www.npmjs.com/package/mongodb;181544.0;5663763.0;https://search.maven.org/artifact/org.mongodb/mongodb-driver-sync;80.0;https://hub.docker.com/r/_/mongo;6302.0;1235882809.0;False;1;redis;mongodb;go.mongodb.org/mongo-driver;https://anaconda.org/anaconda/mongodb;;;;;;;;;;;
2;PostgreSQL;postgres/postgres;postgres;psycopg2;pg;stable/postgresql;;;;org.postgresql:postgresql;data-storage;https://github.com/postgres/postgres;https://github.com/postgres/postgres;2010-09-21 11:35:45+00:00;2019-10-29 08:45:07+00:00;1955;;;14734;47979.0;2019-08-09 21:03:44.439000+00:00;7.12.1;206.0;Object-relational database that supports an extended subset of the..;50;38;https://pypi.org/project/psycopg2;PostgreSQL;223400.0;108588.0;5749608.0;24587147.0;https://www.npmjs.com/package/pg;73898.0;4101695.0;https://search.maven.org/artifact/org.postgresql/postgresql;40914.0;https://hub.docker.com/r/_/postgres;7132.0;1606207101.0;True;1;;;github.com/lib/pq;;;;;;;;;;;;
3;Spark;apache/spark;bde2020/spark-master;pyspark;;stable/spark;;;;org.apache.spark:spark-catalyst_2.11;data-processing;https://github.com/apache/spark;https://github.com/apache/spark;2014-02-25 08:00:08+00:00;2019-10-30 00:45:26+00:00;20394;474.0;;24030;25559.0;2019-05-07 06:56:31+00:00;2.4.3;33.0;Unified analytics engine for big data processing, with built-in..;2137;37;https://pypi.org/project/pyspark;Apache-2.0;931.0;600.0;2328410.0;2330431.0;;;;https://search.maven.org/artifact/org.apache.spark/spark-catalyst_2.11;92.0;https://hub.docker.com/r/bde2020/spark-master;31.0;137438.0;True;1;;;;;239.0;;;;;;;;;;
4;Visual Studio Code;microsoft/vscode;;;monaco-editor-core;;;;;;dev-environments;https://github.com/microsoft/vscode;https://github.com/microsoft/vscode;2015-09-03 20:23:38+00:00;2019-10-30 00:04:16+00:00;12512;3696.0;72970.0;85201;56510.0;2019-10-24 12:52:12+00:00;1.39.2;59.0;Visual Studio Code.;1210;36;;MIT;956.0;;;13494.0;https://www.npmjs.com/package/monaco-editor-core;450.0;13494.0;;;;;;True;1;;;;;506.0;;;;;;;;;;
5;Redis;antirez/redis;redis;redis;redis;bitnami/redis;;;;redis.clients:jedis;data-storage;https://github.com/antirez/redis;https://github.com/antirez/redis;2009-03-21 22:32:25+00:00;2019-10-29 22:37:57+00:00;15073;2386.0;2220.0;46854;;2019-08-19 19:39:45+00:00;3.3.8;100.0;Redis is an in-memory database that persists on disk. The data model..;388;36;https://pypi.org/project/redis;BSD-3-Clause;159558.0;45870.0;5814576.0;21065305.0;https://www.npmjs.com/package/redis;79118.0;5371671.0;https://search.maven.org/artifact/redis.clients/jedis;34570.0;https://hub.docker.com/r/_/redis;7459.0;1254640397.0;True;2;redis;redis;github.com/prometheus/client_golang/prometheus;https://anaconda.org/anaconda/redis;;;;;;;;;;;
6;InfluxDB;influxdata/influxdb;influxdb;influxdb;influx;stable/influxdb;influxdb;influxdb;influxdb;org.influxdb:influxdb-java;data-storage;https://github.com/influxdata/influxdb;https://github.com/influxdata/influxdb;2013-09-26 14:31:10+00:00;2019-10-30 00:44:32+00:00;2462;607.0;8147.0;18493;31500.0;2019-09-21 17:56:26.798000+00:00;5.4.2;52.0;Scalable datastore for metrics, events, and real-time analytics.;461;36;https://pypi.org/project/influxdb;MIT;3692.0;1902.0;694492.0;5509020.0;https://www.npmjs.com/package/influx;922.0;155745.0;https://search.maven.org/artifact/org.influxdb/influxdb-java;868.0;https://hub.docker.com/r/_/influxdb;845.0;340091190.0;True;2;;;;;;influxdb;influxdbr;;;;;;;;
7;Cython;cython/cython;;Cython;;;;;;;accelerators;https://github.com/cython/cython;https://github.com/cython/cython;2010-11-21 07:44:20+00:00;2019-10-28 23:10:23+00:00;906;700.0;1328.0;4617;15197.0;2019-08-16 12:51:15+00:00;0.29.13;88.0;The most widely used Python to C compiler.;364;36;https://pypi.org/project/Cython;Apache-2.0;60644.0;24014.0;3595018.0;3595018.0;;;;;;;;;True;1;;cython;;https://anaconda.org/anaconda/cython;36630.0;;;0.0;;;;;;;
8;Prometheus;prometheus/prometheus;prom/prometheus;prometheus_client;;stable/prometheus;;;;io.prometheus:simpleclient;data-storage;https://github.com/prometheus/prometheus;https://github.com/prometheus/prometheus;2012-11-24 11:14:12+00:00;2019-10-29 23:28:23+00:00;3983;484.0;2585.0;28100;7174.0;2019-10-17 18:40:53+00:00;2.13.1;100.0;The Prometheus monitoring system and time series database.;453;35;https://pypi.org/project/prometheus_client;Apache-2.0;2172.0;1174.0;3021098.0;8220702.0;;;;https://search.maven.org/artifact/io.prometheus/simpleclient;998.0;https://hub.docker.com/r/prom/prometheus;863.0;410629024.0;True;2;prometheus-client;conda-forge/prometheus_client;github.com/prometheus/client_golang/prometheus;https://anaconda.org/conda-forge/prometheus_client;;;;;11099748.0;;;;;;
9;JupyterLab;jupyterlab/jupyterlab;;jupyterlab;;;;;;;dev-environments;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;2016-06-03 20:09:17+00:00;2019-10-29 22:59:48+00:00;1392;1241.0;2903.0;8968;17150.0;2019-10-29 22:59:04+00:00;1.2.0;228.0;JupyterLab computational environment.;294;35;https://pypi.org/project/jupyterlab;BSD-3-Clause;11826.0;1572.0;318580.0;318580.0;;;;;;;;;True;1;;;;;10254.0;;;;;;;;;;
