,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
0,Elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,org.elasticsearch.client:transport,data-storage,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56+00:00,2019-11-08 18:10:47+00:00,2019-11-08 05:01:54+00:00,15264,2220.0,19697.0,49246,49115.0,2019-10-31 18:39:17.622000+00:00,16.5.0,125.0,"Open Source, Distributed, RESTful Search Engine.",1489.0,40,https://pypi.org/project/elasticsearch,Apache-2.0,2019-10-01 20:27:06+00:00,20018.0,10040.0,3291774.0,7245096.0,https://www.npmjs.com/package/elasticsearch,2019-10-31 18:39:17.622000+00:00,7764.0,1200913.0,https://search.maven.org/artifact/org.elasticsearch.client/transport,2019-09-06 00:00:00+00:00,2214.0,https://hub.docker.com/r/_/elasticsearch,2019-11-01 06:33:31.759433+00:00,3958.0,322031933.0,True,1,,,,,,,,,,,,,,,,,,
1,MongoDB,mongodb/mongo,mongo,pymongo,mongodb,incubator/mongodb,,,,org.mongodb:mongodb-driver-sync,data-storage,https://github.com/mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15 16:15:18+00:00,2019-11-08 18:32:43+00:00,2019-11-08 18:29:38+00:00,4243,41.0,,23312,49013.0,2019-10-16 13:30:28.734000+00:00,3.3.3,342.0,The MongoDB Database.,648.0,38,https://pypi.org/project/pymongo,SSPL,2019-08-14 01:09:02+00:00,242270.0,32876.0,5076384.0,20698267.0,https://www.npmjs.com/package/mongodb,2019-11-06 12:55:20.034000+00:00,209314.0,5855488.0,https://search.maven.org/artifact/org.mongodb/mongodb-driver-sync,2018-11-07 12:19:30+00:00,80.0,https://hub.docker.com/r/_/mongo,2019-11-05 05:08:25.301438+00:00,6325.0,1269631395.0,True,1,redis,mongodb,go.mongodb.org/mongo-driver,https://anaconda.org/anaconda/mongodb,2018-11-02 16:49:05+00:00,,,,,,,,,,,,,
2,PostgreSQL,postgres/postgres,postgres,psycopg2,pg,stable/postgresql,,,,org.postgresql:postgresql,data-storage,https://github.com/postgres/postgres,https://github.com/postgres/postgres,2010-09-21 11:35:45+00:00,2019-11-08 18:52:27+00:00,2019-11-08 18:44:20+00:00,1970,,,15010,48032.0,2019-08-09 21:03:44.439000+00:00,7.12.1,206.0,Object-relational database that supports an extended subset of the..,50.0,38,https://pypi.org/project/psycopg2,PostgreSQL,2019-04-14 17:20:39+00:00,239976.0,115118.0,5874336.0,24993846.0,https://www.npmjs.com/package/pg,2019-08-09 21:03:44.439000+00:00,83944.0,4159972.0,https://search.maven.org/artifact/org.postgresql/postgresql,2018-03-15 16:42:42+00:00,40914.0,https://hub.docker.com/r/_/postgres,2019-10-22 02:09:59.103836+00:00,7168.0,1645549272.0,True,1,,,github.com/lib/pq,,,,,,,,,,,,,,,
3,Visual Studio Code,microsoft/vscode,,,monaco-editor-core,,,,,,dev-environments,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03 20:23:38+00:00,2019-11-08 19:04:19+00:00,2019-11-08 19:03:49+00:00,12630,3790.0,73466.0,85781,56936.0,2019-10-24 12:52:12+00:00,1.39.2,59.0,Visual Studio Code.,1218.0,36,,MIT,,961.0,,,14902.0,https://www.npmjs.com/package/monaco-editor-core,2019-09-19 07:02:14.098000+00:00,454.0,14902.0,,,,,,,,True,1,,,,,,507.0,,,,,,,,,,,,
4,Redis,antirez/redis,redis,redis,redis,bitnami/redis,,,,redis.clients:jedis,data-storage,https://github.com/antirez/redis,https://github.com/antirez/redis,2009-03-21 22:32:25+00:00,2019-11-08 11:22:01+00:00,2019-11-06 16:44:42+00:00,15420,2439.0,2221.0,47055,,2019-08-19 19:39:45+00:00,3.3.8,100.0,Redis is an in-memory database that persists on disk. The data model..,389.0,36,https://pypi.org/project/redis,BSD-3-Clause,2019-08-19 19:39:45+00:00,159558.0,45870.0,6133488.0,21707915.0,https://www.npmjs.com/package/redis,2017-08-08 05:17:41.993000+00:00,79118.0,5438303.0,https://search.maven.org/artifact/redis.clients/jedis,2018-12-02 09:41:54+00:00,34570.0,https://hub.docker.com/r/_/redis,2019-10-22 04:06:46.022145+00:00,7504.0,1297423929.0,True,1,redis,redis,github.com/prometheus/client_golang/prometheus,https://anaconda.org/anaconda/redis,2019-01-24 01:04:27+00:00,,,,,,,,,,,,,
5,Spark,apache/spark,bde2020/spark-master,pyspark,,stable/spark,,,,org.apache.spark:spark-catalyst_2.11,data-processing,https://github.com/apache/spark,https://github.com/apache/spark,2014-02-25 08:00:08+00:00,2019-11-08 18:59:27+00:00,2019-11-08 17:33:07+00:00,20455,492.0,,24187,25657.0,2019-05-07 06:56:31+00:00,2.4.3,33.0,"Unified analytics engine for big data processing, with built-in..",2146.0,36,https://pypi.org/project/pyspark,Apache-2.0,2019-05-07 06:56:31+00:00,995.0,650.0,2359786.0,2361825.0,,,,,https://search.maven.org/artifact/org.apache.spark/spark-catalyst_2.11,2018-10-29 07:58:18+00:00,102.0,https://hub.docker.com/r/bde2020/spark-master,2019-09-30 13:16:50.819558+00:00,31.0,140755.0,True,1,,,,,,243.0,,,,,,,,,,,,
6,InfluxDB,influxdata/influxdb,influxdb,influxdb,influx,stable/influxdb,influxdb,influxdb,influxdb,org.influxdb:influxdb-java,data-storage,https://github.com/influxdata/influxdb,https://github.com/influxdata/influxdb,2013-09-26 14:31:10+00:00,2019-11-08 19:10:35+00:00,2019-11-08 18:07:42+00:00,2462,576.0,8262.0,18585,31622.0,2019-10-31 14:57:30.850000+00:00,5.5.0,52.0,"Scalable datastore for metrics, events, and real-time analytics.",465.0,36,https://pypi.org/project/influxdb,MIT,2019-08-26 17:32:03+00:00,3804.0,1902.0,732762.0,5573077.0,https://www.npmjs.com/package/influx,2019-10-31 14:57:30.850000+00:00,946.0,158971.0,https://search.maven.org/artifact/org.influxdb/influxdb-java,2018-09-12 11:27:49+00:00,956.0,https://hub.docker.com/r/_/influxdb,2019-10-18 02:22:41.952914+00:00,852.0,346419475.0,True,1,,,,,,,influxdb,influxdbr,,,,,,,,,,
7,Cython,cython/cython,,Cython,,,,,,,accelerators,https://github.com/cython/cython,https://github.com/cython/cython,2010-11-21 07:44:20+00:00,2019-11-08 08:23:57+00:00,2019-11-08 08:23:53+00:00,906,700.0,1331.0,4645,15209.0,2019-11-01 19:46:26+00:00,0.29.14,89.0,The most widely used Python to C compiler.,364.0,36,https://pypi.org/project/Cython,Apache-2.0,2019-11-01 19:46:26+00:00,62869.0,25752.0,3897817.0,3897817.0,,,,,,,,,,,,True,1,,cython,,https://anaconda.org/anaconda/cython,2019-08-16 12:51:15+00:00,37117.0,,,0.0,,,,,,,,,
8,Prometheus,prometheus/prometheus,prom/prometheus,prometheus_client,,stable/prometheus,,,,io.prometheus:simpleclient,data-storage,https://github.com/prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24 11:14:12+00:00,2019-11-08 17:29:47+00:00,2019-11-07 16:26:45+00:00,4024,483.0,2603.0,28307,7194.0,2019-10-17 18:40:53+00:00,2.13.1,100.0,The Prometheus monitoring system and time series database.,456.0,35,https://pypi.org/project/prometheus_client,Apache-2.0,2019-06-20 13:35:09+00:00,2226.0,1174.0,3175927.0,8434160.0,,,,,https://search.maven.org/artifact/io.prometheus/simpleclient,2018-07-30 09:37:56+00:00,1052.0,https://hub.docker.com/r/prom/prometheus,2019-11-07 18:28:05.089535+00:00,872.0,420299855.0,True,2,prometheus-client,conda-forge/prometheus_client,github.com/prometheus/client_golang/prometheus,https://anaconda.org/conda-forge/prometheus_client,,,,,,11205225.0,,,,,,,,
9,JupyterLab,jupyterlab/jupyterlab,,jupyterlab,,,,,,,dev-environments,https://github.com/jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17+00:00,2019-11-08 19:10:28+00:00,2019-11-08 04:53:00+00:00,1407,1263.0,2916.0,9023,17175.0,2019-11-02 17:12:02+00:00,1.2.1,229.0,JupyterLab computational environment.,298.0,35,https://pypi.org/project/jupyterlab,BSD-3-Clause,2019-11-02 17:12:02+00:00,12544.0,1932.0,350003.0,350003.0,,,,,,,,,,,,True,1,,,,,,10612.0,,,,,,,,,,,,
10,Jupyter,jupyter/notebook,jupyter/datascience-notebook,jupyter,,,,,,,dev-environments,https://github.com/jupyter/notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03+00:00,2019-11-08 17:37:43+00:00,2019-11-04 23:09:34+00:00,2693,1674.0,1812.0,7027,11596.0,2018-11-05 02:14:50+00:00,5.6.0,14.0,Jupyter Interactive Notebook.,459.0,35,https://pypi.org/project/jupyter,BSD-3-Clause,2015-08-12 00:42:58+00:00,54518.0,12938.0,1879281.0,1993286.0,,,,,,,,https://hub.docker.com/r/jupyter/datascience-notebook,2019-09-11 14:25:54.452683+00:00,553.0,6270282.0,True,1,,,,,,41580.0,,,,,,,,,,,,
