,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
0,Elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,org.elasticsearch.client:transport,data-storage,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56+00:00,2019-11-11 21:26:15+00:00,2019-11-11 20:52:30+00:00,15273,2221.0,19703.0,49286,49137.0,2019-10-31 18:39:17.622000+00:00,16.5.0,125.0,"Open Source, Distributed, RESTful Search Engine.",1495.0,40,https://pypi.org/project/elasticsearch,Apache-2.0,2019-10-01 20:27:06+00:00,20024.0,10040.0,3262583.0,7139114.0,https://www.npmjs.com/package/elasticsearch,2019-10-31 18:39:17.622000+00:00,7764.0,1114281.0,https://search.maven.org/artifact/org.elasticsearch.client/transport,2019-09-06 00:00:00+00:00,2220.0,https://hub.docker.com/r/_/elasticsearch,2019-11-01 06:33:31.759433+00:00,3965.0,323183352.0,True,1,,,,,,,,,,,,,,,,,,,
1,MongoDB,mongodb/mongo,mongo,pymongo,mongodb,incubator/mongodb,,,,org.mongodb:mongodb-driver-sync,data-storage,https://github.com/mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15 16:15:18+00:00,2019-11-11 20:28:45+00:00,2019-11-11 20:28:42+00:00,4243,41.0,,23342,49036.0,2019-10-16 13:30:28.734000+00:00,3.3.3,342.0,The MongoDB Database.,648.0,38,https://pypi.org/project/pymongo,SSPL,2019-08-14 01:09:02+00:00,242270.0,32876.0,4926601.0,20347951.0,https://www.npmjs.com/package/mongodb,2019-11-06 12:55:20.034000+00:00,209314.0,5568724.0,https://search.maven.org/artifact/org.mongodb/mongodb-driver-sync,2018-11-07 12:19:30+00:00,80.0,https://hub.docker.com/r/_/mongo,2019-11-05 05:08:25.301438+00:00,6337.0,1280841448.0,True,1,redis,mongodb,go.mongodb.org/mongo-driver,https://anaconda.org/anaconda/mongodb,2018-11-02 16:49:05+00:00,,,,,,,,,,,,,,
2,PostgreSQL,postgres/postgres,postgres,psycopg2,pg,stable/postgresql,,,,org.postgresql:postgresql,data-storage,https://github.com/postgres/postgres,https://github.com/postgres/postgres,2010-09-21 11:35:45+00:00,2019-11-11 19:40:28+00:00,2019-11-11 19:39:54+00:00,1970,,,15027,48047.0,2019-08-09 21:03:44.439000+00:00,7.12.1,206.0,Object-relational database that supports an extended subset of the SQL standard.,50.0,38,https://pypi.org/project/psycopg2,PostgreSQL,2019-04-14 17:20:39+00:00,239976.0,115118.0,5687382.0,24671620.0,https://www.npmjs.com/package/pg,2019-08-09 21:03:44.439000+00:00,83944.0,3917126.0,https://search.maven.org/artifact/org.postgresql/postgresql,2018-03-15 16:42:42+00:00,40914.0,https://hub.docker.com/r/_/postgres,2019-10-22 02:09:59.103836+00:00,7184.0,1657382392.0,True,1,,,github.com/lib/pq,,,,,,,,,,,,,,,,
3,Visual Studio Code,microsoft/vscode,,,monaco-editor-core,,,,,,dev-environments,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03 20:23:38+00:00,2019-11-11 20:45:46+00:00,2019-11-11 20:45:38+00:00,12786,3928.0,73606.0,86282,57032.0,2019-10-24 12:52:12+00:00,1.39.2,59.0,Visual Studio Code.,1219.0,36,,MIT,,962.0,,,14489.0,https://www.npmjs.com/package/monaco-editor-core,2019-09-19 07:02:14.098000+00:00,454.0,14489.0,,,,,,,,True,1,,,,,,508.0,,,,,,,,,,,,,
4,Redis,antirez/redis,redis,redis,redis,bitnami/redis,,,,redis.clients:jedis,data-storage,https://github.com/antirez/redis,https://github.com/antirez/redis,2009-03-21 22:32:25+00:00,2019-11-11 14:08:41+00:00,2019-11-06 16:44:42+00:00,15441,2447.0,2224.0,47106,,2019-08-19 19:39:45+00:00,3.3.8,100.0,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values..",389.0,36,https://pypi.org/project/redis,BSD-3-Clause,2019-08-19 19:39:45+00:00,161554.0,47866.0,5926244.0,21283799.0,https://www.npmjs.com/package/redis,2017-08-08 05:17:41.993000+00:00,79118.0,5120761.0,https://search.maven.org/artifact/redis.clients/jedis,2018-12-02 09:41:54+00:00,34570.0,https://hub.docker.com/r/_/redis,2019-10-22 04:06:46.022145+00:00,7515.0,1310309713.0,True,1,redis,redis,github.com/prometheus/client_golang/prometheus,https://anaconda.org/anaconda/redis,2019-01-24 01:04:27+00:00,,,,,,,,,,,,,,
5,Spark,apache/spark,bde2020/spark-master,pyspark,,stable/spark,,,,org.apache.spark:spark-catalyst_2.11,data-processing,https://github.com/apache/spark,https://github.com/apache/spark,2014-02-25 08:00:08+00:00,2019-11-11 21:19:27+00:00,2019-11-11 19:11:05+00:00,20488,488.0,,24201,25678.0,2019-05-07 06:56:31+00:00,2.4.3,33.0,"Unified analytics engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph..",2146.0,36,https://pypi.org/project/pyspark,Apache-2.0,2019-05-07 06:56:31+00:00,1028.0,676.0,2288489.0,2290539.0,,,,,https://search.maven.org/artifact/org.apache.spark/spark-catalyst_2.11,2018-10-29 07:58:18+00:00,108.0,https://hub.docker.com/r/bde2020/spark-master,2019-09-30 13:16:50.819558+00:00,31.0,141479.0,True,1,,,,,,244.0,,,,,,,,,,,,,
6,InfluxDB,influxdata/influxdb,influxdb,influxdb,influx,stable/influxdb,influxdb,influxdb,influxdb,org.influxdb:influxdb-java,data-storage,https://github.com/influxdata/influxdb,https://github.com/influxdata/influxdb,2013-09-26 14:31:10+00:00,2019-11-11 21:14:42+00:00,2019-11-11 20:52:04+00:00,2462,595.0,8270.0,18605,31626.0,2019-10-31 14:57:30.850000+00:00,5.5.0,52.0,"Scalable datastore for metrics, events, and real-time analytics.",465.0,36,https://pypi.org/project/influxdb,MIT,2019-08-26 17:32:03+00:00,3804.0,1902.0,722858.0,5583393.0,https://www.npmjs.com/package/influx,2019-10-31 14:57:30.850000+00:00,946.0,152492.0,https://search.maven.org/artifact/org.influxdb/influxdb-java,2018-09-12 11:27:49+00:00,956.0,https://hub.docker.com/r/_/influxdb,2019-10-18 02:22:41.952914+00:00,853.0,348395186.0,True,1,,,,,,,influxdb,influxdbr,,,,,,,,,,,
7,Cython,cython/cython,,Cython,,,,,,,accelerators,https://github.com/cython/cython,https://github.com/cython/cython,2010-11-21 07:44:20+00:00,2019-11-11 14:46:19+00:00,2019-11-08 08:23:53+00:00,906,700.0,1331.0,4650,15209.0,2019-11-01 19:46:26+00:00,0.29.14,89.0,The most widely used Python to C compiler.,364.0,36,https://pypi.org/project/Cython,Apache-2.0,2019-11-01 19:46:26+00:00,63007.0,25752.0,3809031.0,3809031.0,,,,,,,,,,,,True,1,,cython,,https://anaconda.org/anaconda/cython,2019-08-16 12:51:15+00:00,37255.0,,,0.0,,,,,,,,,,
8,Prometheus,prometheus/prometheus,prom/prometheus,prometheus_client,,stable/prometheus,,,,io.prometheus:simpleclient,data-storage,https://github.com/prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24 11:14:12+00:00,2019-11-11 20:24:42+00:00,2019-11-11 19:48:21+00:00,4041,487.0,2609.0,28357,7201.0,2019-11-11 17:30:05+00:00,2.14.0,100.0,The Prometheus monitoring system and time series database.,458.0,35,https://pypi.org/project/prometheus_client,Apache-2.0,2019-06-20 13:35:09+00:00,2226.0,1174.0,3049810.0,8352021.0,,,,,https://search.maven.org/artifact/io.prometheus/simpleclient,2018-07-30 09:37:56+00:00,1052.0,https://hub.docker.com/r/prom/prometheus,2019-11-11 16:24:58.135461+00:00,872.0,423436425.0,True,2,prometheus-client,conda-forge/prometheus_client,github.com/prometheus/client_golang/prometheus,https://anaconda.org/conda-forge/prometheus_client,,,,,,11236015.0,,,,,,,,,
9,Prisma,prisma/prisma,prismagraphql/prisma,,prisma-client-lib,stable/prisma,prisma,,,,data-integration,https://github.com/prisma/prisma,https://github.com/prisma/prisma,2016-09-25 12:54:40+00:00,2019-11-11 10:27:59.615938+00:00,2019-11-11 10:09:35+00:00,908,624.0,2733.0,16152,12401.0,2019-10-14 16:06:46+00:00,1.34.10,495.0,"Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB).",248.0,35,,Apache-2.0,,6092.0,,,550077.0,https://www.npmjs.com/package/prisma-client-lib,2019-06-14 11:23:19.372000+00:00,492.0,130496.0,,,,https://hub.docker.com/r/prismagraphql/prisma,2019-11-11 10:27:59.615938+00:00,72.0,15944104.0,True,1,,,github.com/prisma/prisma-client-lib-go,,,5600.0,,,,,,,,,,,,,
