,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,pip_id,gitlab_id
0,Elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,elastic/elasticsearch,elasticsearch,elasticsearch,elasticsearch,org.elasticsearch.client:transport,data-storage,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56+00:00,2020-01-24 20:56:54+00:00,2020-01-24 20:51:32+00:00,15836.0,2406.0,20256.0,50837,50157.0,2020-01-21 19:17:21+00:00,7.5.2,126.0,"Open Source, Distributed, RESTful Search Engine.",1537.0,40,https://pypi.org/project/elasticsearch,Apache-2.0,2020-01-19 01:06:56+00:00,20974.0,10574.0,3123412.0,7030124.0,https://www.npmjs.com/package/elasticsearch,2020-01-15 18:40:44.900000+00:00,7992.0,972776.0,https://search.maven.org/artifact/org.elasticsearch.client/transport,2019-09-06 00:00:00+00:00,2408.0,https://hub.docker.com/r/_/elasticsearch,2020-01-23 01:25:31.339623+00:00,4115.0,349138390.0,True,1,,,,,,,,,,,,,,,,,,,,
1,MongoDB,mongodb/mongo,mongo,pymongo,mongodb,incubator/mongodb,,,,org.mongodb:mongodb-driver-sync,data-storage,https://github.com/mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15 16:15:18+00:00,2020-01-24 20:36:27+00:00,2020-01-24 20:36:24+00:00,4268.0,41.0,,23906,49904.0,2020-01-17 22:46:50.003000+00:00,3.5.1,348.0,The MongoDB Database.,662.0,38,https://pypi.org/project/pymongo,SSPL,2020-01-08 01:16:33+00:00,270060.0,35862.0,5401405.0,22131878.0,https://www.npmjs.com/package/mongodb,2020-01-17 22:46:50.003000+00:00,233990.0,5261004.0,https://search.maven.org/artifact/org.mongodb/mongodb-driver-sync,2020-01-17 00:00:00+00:00,208.0,https://hub.docker.com/r/_/mongo,2020-01-18 02:10:23.093803+00:00,6523.0,1513970015.0,True,1,redis,mongodb,go.mongodb.org/mongo-driver,https://anaconda.org/anaconda/mongodb,2018-11-02 16:49:05+00:00,,,,,,,,,,,,,,,
2,PostgreSQL,postgres/postgres,postgres,psycopg2,pg,stable/postgresql,,,,org.postgresql:postgresql,data-storage,https://github.com/postgres/postgres,https://github.com/postgres/postgres,2010-09-21 11:35:45+00:00,2020-01-24 18:35:35+00:00,2020-01-24 18:29:52+00:00,2088.0,,,15437,48418.0,2019-12-29 17:51:10.231000+00:00,7.17.1,215.0,Object-relational database that supports an extended subset of the SQL standard.,50.0,38,https://pypi.org/project/psycopg2,PostgreSQL,2019-04-14 17:20:39+00:00,262126.0,119212.0,5861113.0,27463123.0,https://www.npmjs.com/package/pg,2020-01-10 15:23:30.756000+00:00,90906.0,4104990.0,https://search.maven.org/artifact/org.postgresql/postgresql,2018-03-15 16:42:42+00:00,52008.0,https://hub.docker.com/r/_/postgres,2020-01-24 06:10:04.925335+00:00,7437.0,1959666351.0,True,1,,,github.com/lib/pq,,,,,,,,,,,,,,,,,
3,Visual Studio Code,microsoft/vscode,,,monaco-editor-core,,,,,,dev-environments,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03 20:23:38+00:00,2020-01-24 20:47:37+00:00,2020-01-24 20:47:16+00:00,13725.0,4435.0,77312.0,90590,60005.0,2020-01-14 14:34:22.500000+00:00,0.19.3,63.0,Visual Studio Code.,1283.0,37,,MIT,,1018.0,,,24551.0,https://www.npmjs.com/package/monaco-editor-core,2020-01-14 14:34:22.500000+00:00,474.0,24551.0,,,,,,,,True,1,,,,,,544.0,,,,,,,,,,,,,,
4,Redis,antirez/redis,redis,redis,redis,bitnami/redis,,,,redis.clients:jedis,data-storage,https://github.com/antirez/redis,https://github.com/antirez/redis,2009-03-21 22:32:25+00:00,2020-01-23 12:57:36+00:00,2020-01-15 16:55:24+00:00,15833.0,2491.0,2284.0,48637,,2019-10-13 15:57:25+00:00,3.3.11,100.0,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values..",402.0,37,https://pypi.org/project/redis,BSD-3-Clause,2019-10-13 15:57:25+00:00,181880.0,49438.0,7384279.0,25074920.0,https://www.npmjs.com/package/redis,2017-08-08 05:17:41.993000+00:00,92884.0,4935066.0,https://search.maven.org/artifact/redis.clients/jedis,2018-12-02 09:41:54+00:00,39558.0,https://hub.docker.com/r/_/redis,2020-01-18 11:07:33.549447+00:00,7742.0,1658224778.0,True,1,redis,redis,github.com/prometheus/client_golang/prometheus,https://anaconda.org/anaconda/redis,2019-01-24 01:04:27+00:00,,,,,,,,,,,,,,,
5,InfluxDB,influxdata/influxdb,influxdb,influxdb,influx,stable/influxdb,influxdb,influxdb,influxdb,org.influxdb:influxdb-java,data-storage,https://github.com/influxdata/influxdb,https://github.com/influxdata/influxdb,2013-09-26 14:31:10+00:00,2020-01-24 20:43:15+00:00,2020-01-24 20:35:47+00:00,2533.0,646.0,8685.0,19113,32217.0,2019-11-13 12:15:53.574000+00:00,5.5.1,52.0,"Scalable datastore for metrics, events, and real-time analytics.",476.0,37,https://pypi.org/project/influxdb,MIT,2019-08-26 17:32:03+00:00,3832.0,1902.0,748503.0,6155037.0,https://www.npmjs.com/package/influx,2019-11-13 12:15:53.574000+00:00,974.0,138765.0,https://search.maven.org/artifact/org.influxdb/influxdb-java,2018-09-12 11:27:49+00:00,956.0,https://hub.docker.com/r/_/influxdb,2020-01-23 21:23:26.001965+00:00,905.0,400350470.0,True,1,,,,,,,influxdb,influxdbr,,,,,,,,,,,,
6,Spark,apache/spark,bde2020/spark-master,pyspark,,stable/spark,,,,org.apache.spark:spark-catalyst_2.11,data-processing,https://github.com/apache/spark,https://github.com/apache/spark,2014-02-25 08:00:08+00:00,2020-01-24 20:52:06+00:00,2020-01-24 20:12:46+00:00,21034.0,288.0,,24999,26317.0,2019-05-07 06:56:31+00:00,2.4.3,33.0,"Unified analytics engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph..",2186.0,36,https://pypi.org/project/pyspark,Apache-2.0,2019-05-07 06:56:31+00:00,1162.0,760.0,2703303.0,2705727.0,,,,,https://search.maven.org/artifact/org.apache.spark/spark-catalyst_2.11,2018-10-29 07:58:18+00:00,124.0,https://hub.docker.com/r/bde2020/spark-master,2019-09-30 13:16:50.819558+00:00,32.0,172174.0,True,1,,,,,,278.0,,,,,,,,,,,,,,
7,MySQL,mysql/mysql-server,mysql,mysqlclient,mysql,stable/mysql,mysql,mysql-server,,mysql:mysql-connector-java,data-storage,https://github.com/mysql/mysql-server,https://github.com/mysql/mysql-server,2014-09-26 09:31:03+00:00,2020-01-23 18:09:18.618000+00:00,2019-12-09 19:48:18+00:00,2086.0,2.0,,24053,,2020-01-23 18:09:18.618000+00:00,2.18.1,70.0,"MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional..",567.0,36,https://pypi.org/project/mysqlclient,GPL-2.0,2019-11-21 12:37:56+00:00,411451.0,6637.0,2131213.0,25712997.0,https://www.npmjs.com/package/mysql,2020-01-23 18:09:18.618000+00:00,103300.0,2128270.0,https://search.maven.org/artifact/mysql/mysql-connector-java,2018-09-27 09:18:47+00:00,301514.0,https://hub.docker.com/r/_/mysql,2020-01-15 01:03:13.783402+00:00,9060.0,1373024950.0,False,2,,mysql-connector-python,github.com/go-sql-driver/mysql,https://anaconda.org/anaconda/mysql-connector-python,2019-11-18 16:43:48+00:00,,,,,,,,,,,,,,,
8,Cython,cython/cython,,Cython,,,,,,,accelerators,https://github.com/cython/cython,https://github.com/cython/cython,2010-11-21 07:44:20+00:00,2020-01-24 17:54:25+00:00,2020-01-23 06:22:57+00:00,950.0,783.0,1361.0,4844,15255.0,2019-11-20 17:36:17+00:00,0.29.14,89.0,The most widely used Python to C compiler.,371.0,36,https://pypi.org/project/Cython,Apache-2.0,2019-11-01 19:46:26+00:00,68343.0,27350.0,3644998.0,3644998.0,,,,,,,,,,,,True,1,,cython,,https://anaconda.org/anaconda/cython,2019-11-20 17:36:17+00:00,40993.0,,,0.0,,,,,,,,,,,
9,Prometheus,prometheus/prometheus,prom/prometheus,prometheus_client,,stable/prometheus,,,,io.prometheus:simpleclient,data-storage,https://github.com/prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24 11:14:12+00:00,2020-01-24 20:27:09+00:00,2020-01-22 12:13:47+00:00,4206.0,489.0,2775.0,29768,7450.0,2020-01-06 17:22:58+00:00,2.15.2,100.0,The Prometheus monitoring system and time series database.,481.0,35,https://pypi.org/project/prometheus_client,Apache-2.0,2019-06-20 13:35:09+00:00,2226.0,1174.0,4654445.0,10826508.0,,,,,https://search.maven.org/artifact/io.prometheus/simpleclient,2018-07-30 09:37:56+00:00,1052.0,https://hub.docker.com/r/prom/prometheus,2020-01-22 14:22:16.914353+00:00,930.0,507626763.0,True,2,prometheus-client,conda-forge/prometheus_client,github.com/prometheus/client_golang/prometheus,https://anaconda.org/conda-forge/prometheus_client,,,,,,11854822.0,,,,,,,,,,
